id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
867399655980417849,Home in Vancouver · ★4.77 · 3 bedrooms · 5 beds · 3 baths,509671301,,Kitsilano,49.265899370730295,-123.1694074014067,Entire home/apt,363,2,26,2023-11-03,3.41,1,77,26,23-212650
868105255970935888,Home in Vancouver · ★4.58 · 1 bedroom · 2 beds · 1.5 baths,227662329,,Kerrisdale,49.22766707229428,-123.16973991451052,Entire home/apt,50,1,26,2023-12-11,3.42,134,303,26,23-157413
868443593230937166,Home in Vancouver · ★4.98 · 3 bedrooms · 3 beds · 2 baths,424939943,,Grandview-Woodland,49.26579397181448,-123.06924886511432,Entire home/apt,252,2,40,2023-12-03,6.0,1,315,40,24-159569
868992349650779241,Home in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,20368433,,South Cambie,49.24630142283143,-123.11614204198122,Private room,130,1,48,2023-09-28,6.0,2,246,48,23-199733
869517941072620993,Home in Vancouver · ★4.87 · 1 bedroom · 1 bed · 1 bath,94396030,,Hastings-Sunrise,49.2869564,-123.0505634,Entire home/apt,80,2,39,2023-12-12,6.19,1,239,39,23-214060
870464807080181034,Rental unit in Vancouver · ★4.92 · 2 bedrooms · 2 beds · 1 bath,491572694,,Downtown,49.279779118848076,-123.1275043833807,Entire home/apt,147,1,51,2023-12-03,6.89,1,74,51,23-197250
870931121942621137,Rental unit in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,278426246,,Downtown,49.2788408,-123.107399,Entire home/apt,90,1,48,2023-12-04,6.67,1,98,48,23-688201
871054177078559946,Home in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,388321759,,Oakridge,49.2276958,-123.1325916,Private room,75,1,34,2023-09-03,4.72,4,312,34,23-158280
871313771147128114,Condo in Vancouver · ★4.78 · 2 bedrooms · 3 beds · 2 baths,485229502,,Downtown,49.27762200367611,-123.12966238707304,Entire home/apt,279,3,23,2023-10-30,2.94,3,74,23,23-194309
871327643546008840,Rental unit in Vancouver · ★4.83 · 1 bedroom · 2 beds · 1 bath,502055554,,Downtown,49.27945047541053,-123.12499180069747,Entire home/apt,211,5,30,2023-11-28,3.95,1,289,30,23-158523
